System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Organization categorization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Name of the hardware (from Training hardware),Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Organization (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Authors by country,Hardware quantity,Hardware utilization,Training cost trends
Xception,Vision,Image classification,François Chollet,Highly cited,,,https://arxiv.org/abs/1610.02357,10821.00,Xception: Deep Learning with Depthwise Separable Convolutions,2016-10-07,Google,Industry,22855952.00,Table 3,43623360000000000000.00,"60 K80 GPUs * 3 days * 8.5 TFLOPS/GPU * 0.33 utilization 
= 4.4e4 PF = 0.44 pfs-days",JFT,"Also ImageNet, but JFT is significantly larger",350000000,"""JFT is an internal Google dataset for large-scale image classification dataset, first introduced by Hinton et al. in [5], which comprises over 350 million high-resolution images annotated with labels from a set of 17,000 classes. To evaluate the performance of a model trained on JFT, we use an auxiliary dataset, FastEval14k""",,16800000000.00,"Rados (FLOPs)
https://drive.google.com/drive/folders/1bhy5z6hh1n3wCHx6528Xb7xB1KhYdAL1",,,NVIDIA Tesla K80,NVIDIA Tesla K80,,$1961.34,,Industry,,"We present an interpretation of Inception modules in convolutional neural networks as being an intermediate step in-between regular convolution and the depthwise separable convolution operation (a depthwise convolution followed by a pointwise convolution). In this light, a depthwise separable convolution can be understood as an Inception module with a maximally large number of towers. This observation leads us to propose a novel deep convolutional neural network architecture inspired by Inception, where Inception modules have been replaced with depthwise separable convolutions. We show that this architecture, dubbed Xception, slightly outperforms Inception V3 on the ImageNet dataset (which Inception V3 was designed for), and significantly outperforms Inception V3 on a larger image classification dataset comprising 350 million images and 17,000 classes. Since the Xception architecture has the same number of parameters as Inception V3, the performance gains are not due to increased capacity but rather to a more efficient use of model parameters.",2023-12-05 04:33,Robi Rahman,,,Multinational,Google,,,,Xception,,,
Differentiable neural computer,,,"Alex Graves, Greg Wayne, Malcolm Reynolds, Tim Harley, Ivo Danihelka, Agnieszka Grabska-Barwińska, Sergio Gómez Colmenarejo, Edward Grefenstette, Tiago Ramalho, John Agapiou, Adrià Puigdomènech Badia, Karl Moritz Hermann, Yori Zwols, Georg Ostrovski, Adam Cain, Helen King, Christopher Summerfield, Phil Blunsom, Koray Kavukcuoglu & Demis Hassabis",Highly cited,,,https://www.nature.com/articles/nature20101,1428.00,Hybrid computing using a neural network with dynamic external memory,2016-10-12,Google DeepMind,Industry,,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,Multinational,Google DeepMind,,,,Differentiable neural computer,,,
VD-LSTM+REAL Large,Language,,"Hakan Inan, Khashayar Khosravi, Richard Socher",SOTA Improvement,"""Our framework leads to state of the art performance on the Penn Treebank""",,https://arxiv.org/abs/1611.01462,397.00,Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling,2016-11-04,"Salesforce Research,Stanford University",,51000000.00,,21300000000000000.00,,Penn TreeBank,,,,75.00,,,,,,,,,,,,,2023-11-26 03:25,Robi Rahman,VD-LSTM+REAL Large,,"United States of America,United States of America","Salesforce Research, Stanford University",,,,VD-LSTM+REAL Large,,,
VD-LSTM+REAL Medium,Language,,,,,,,,,2016-11-04,,,,,,,,,,,,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,VD-LSTM+REAL Medium,1,,,,,,,,,
VD-LSTM+REAL Small,Language,,,,,,,,,2016-11-04,,,,,,,,,,,60.00,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,VD-LSTM+REAL Small,1,,,,,,,,,
NASv3 (CIFAR-10),Vision,,"Barret Zoph, Quoc V. Le",Highly cited,,,https://arxiv.org/abs/1611.01578,4569.00,Neural Architecture Search with Reinforcement Learning,2016-11-05,Google Brain,Industry,37400000.00,Table 1,2.2e+21,"50 epochs * 50,000 images * 10.0 GFLOPSs * 12800 networks * 2 add-multiply * 3 backward pass 
= 1.9e6 PF = 22 pfs-days

source: https://openai.com/blog/ai-and-compute/",,,,,,,,,,,,,$13069.35,,Industry,Likely,"Neural networks are powerful and flexible models that work well for many difficult learning tasks in image, speech and natural language understanding. Despite their success, neural networks are still hard to design. In this paper, we use a recurrent network to generate the model descriptions of neural networks and train this RNN with reinforcement learning to maximize the expected accuracy of the generated architectures on a validation set. On the CIFAR-10 dataset, our method, starting from scratch, can design a novel network architecture that rivals the best human-invented architecture in terms of test set accuracy. Our CIFAR-10 model achieves a test error rate of 3.65, which is 0.09 percent better and 1.05x faster than the previous state-of-the-art model that used a similar architectural scheme. On the Penn Treebank dataset, our model can compose a novel recurrent cell that outperforms the widely-used LSTM cell, and other state-of-the-art baselines. Our cell achieves a test set perplexity of 62.4 on the Penn Treebank, which is 3.6 perplexity better than the previous state-of-the-art model. The cell can also be transferred to the character language modeling task on PTB and achieves a state-of-the-art perplexity of 1.214.",2023-12-05 04:33,Robi Rahman,,0,Multinational,Google Brain,,,,NASv3 (CIFAR-10),800,,NASv3 (CIFAR-10)
Neural Architecture Search with base 8 and shared embeddings,Language,,"Barret Zoph, Quoc V. Le",Highly cited,,,https://arxiv.org/abs/1611.01578,4569.00,Neural Architecture Search with Reinforcement Learning,2016-11-05,Google Brain,Industry,54000000.00,,10500000000000000.00,,Penn TreeBank,,,,35.00,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,Neural Architecture Search with base 8 and shared embeddings,,Multinational,Google Brain,,,,Neural Architecture Search with base 8 and shared embeddings,,,
Deeply-recursive ConvNet,Vision,Image super-resolution,"Jiwon Kim, Jung Kwon Lee, Kyoung Mu Lee",Highly cited,,,https://arxiv.org/abs/1511.04491,2192.00,Deeply-Recursive Convolutional Network for Image Super-Resolution,2016-11-11,Seoul National University,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-12-05 04:33,Robi Rahman,,,Korea (Republic of),Seoul National University,,,,Deeply-recursive ConvNet,,,
ResNeXt-50,Vision,Image classification,"Saining Xie, Ross Girshick, Piotr Dollár, Zhuowen Tu, Kaiming He",Highly cited,,,https://arxiv.org/abs/1611.05431,8346.00,Aggregated Residual Transformations for Deep Neural Networks,2016-11-16,"UC San Diego,Facebook",Industry - Academia Collaboration,25000000.00,"""If you’re thinking about ResNets, yes, they are related. ResNeXt-50 has 25M parameters (ResNet-50 has 25.5M).""

https://towardsdatascience.com/illustrated-10-cnn-architectures-95d78ace614d",,,,,,,,8400000000.00,"Rados  (FLOPs)
https://drive.google.com/drive/folders/1bhy5z6hh1n3wCHx6528Xb7xB1KhYdAL1",,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,"United States of America,Multinational","UC San Diego, Facebook",,,,ResNeXt-50,,,
PolyNet,Vision,Image classification,"X Zhang, Z Li, C Change Loy",SOTA Improvement,"""The Very Deep PolyNet, designed following this direction, demonstrates substantial improvements over the state-of-the-art on the ILSVRC 2012 benchmark. Compared to Inception-ResNet-v2, it reduces the top-5 validation error on single crops from 4.9% to 4.25%, and that on multi-crops from 3.7% to 3.45%.""",,https://arxiv.org/abs/1611.05725,282.00,PolyNet: A Pursuit of Structural Diversity in Very Deep Networks,2016-11-17,Chinese University of Hong Kong,Academia,92000000.00,,64000000000000000000.00,"Section 5: ""ResNet-500 [has] similar computation
costs to our Very Deep PolyNet"".

ResNet-152 has 11.3e9 FLOP per forward pass (https://arxiv.org/abs/1512.03385, Table 1). Hence ResNet-500 has approx 3.7e10 = 11.3e9*500/152 FLOP per forward pass.

560k iterations, batch size 512:
Train compute = 3.7e10*3*2*560e3 * 512 = 6.4e19",ImageNet,Section 4,1280000,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,Hong Kong,Chinese University of Hong Kong,,,,PolyNet,,,
RefineNet,Vision,Object detection,"Guosheng Lin, Anton Milan, Chunhua Shen, Ian Reid",Highly cited,,,https://arxiv.org/abs/1611.06612v3,2469.00,RefineNet: Multi-Path Refinement Networks for High-Resolution Semantic Segmentation,2016-11-20,"University of Adelaide,Australian Centre for Robotic Vision",Industry - Academia Collaboration,,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,"Australia,Australia","University of Adelaide, Australian Centre for Robotic Vision",,,,RefineNet,,,
Image-to-image cGAN,,,"P Isola, JY Zhu, T Zhou",Highly cited,,,https://arxiv.org/abs/1611.07004,15965.00,Image-to-Image Translation with Conditional Adversarial Networks,2016-11-21,UC Berkeley,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-12-05 04:33,Robi Rahman,,,United States of America,UC Berkeley,,,,Image-to-image cGAN,,,
Elastic weight consolidation,,,"J Kirkpatrick, R Pascanu",Highly cited,,,https://arxiv.org/abs/1612.00796,4724.00,Overcoming catastrophic forgetting in neural networks,2016-12-02,DeepMind,Industry,,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,DeepMind,,,,Elastic weight consolidation,,,
PointNet,Other,3d segmentation,"CR Qi, H Su, K Mo, LJ Guibas",Highly cited,,,https://arxiv.org/abs/1612.00593,10186.00,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,2016-12-02,Stanford University,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-12-05 04:33,Robi Rahman,,,United States of America,Stanford University,,,,PointNet,,,
GAN-Advancer,Vision,Image classification,"Tim Salimans, Ian Goodfellow, Wojciech Zaremba, Vicki Cheung, Alec Radford, Xi Chen",Highly cited,,,https://dl.acm.org/doi/10.5555/3157096.3157346,7355.00,Improved Techniques for Training GANs,2016-12-05,OpenAI,Industry,,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,United States of America,OpenAI,,,,GAN-Advancer,,,
Diabetic Retinopathy Detection Net,Vision,,"V Gulshan, L Peng, M Coram, MC Stumpe, D Wu",Highly cited,,,https://jamanetwork.com/journals/jama/article-abstract/2588763,3540.00,Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs,2016-12-13,"UT Austin,UC Berkeley,Google",Industry - Academia Collaboration,,,,,,,,,,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,"United States of America,United States of America,Multinational","UT Austin, UC Berkeley, Google",,,,Diabetic Retinopathy Detection Net,,,
Neural cache model (size=2000) (300M),Language,,"Edouard Grave, Armand Joulin, Nicolas Usunier",,,,https://arxiv.org/abs/1612.04426,302.00,Improving Neural Language Models with a Continuous Cache,2016-12-13,,,300000000.00,,,,WikiText-103,,,,,,,,,,,,,,,,,2023-11-21 01:39,Robi Rahman,Neural cache model (size=2000) (300M),,,,,,,,,,
Neural cache model (size=2000),Language,,,,,,,,,2016-12-13,,,,,,,,,,,,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,Neural cache model (size=2000),1,,,,,,,,,
LSTM (PTB),Language,,,,,,,,,2016-12-13,,,,,,,,,,,,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,LSTM (PTB),1,,,,,,,,,
LSTM (WT2),Language,,,,,,,,,2016-12-13,,,,,,,,,,,,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,LSTM (WT2),1,,,,,,,,,
LSTM (WT103),Language,,,,,,,,,2016-12-13,,,,,,,,,,,,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,LSTM (WT103),1,,,,,,,,,
"GCRN-M1, dropout",Language,,"Youngjoo Seo, Michaël Defferrard, Pierre Vandergheynst, Xavier Bresson",,,,https://arxiv.org/pdf/1612.07659,674.00,Structured Sequence Modeling with Graph Convolutional Recurrent Networks,2016-12-22,,,42000000.00,,3040000000000000.00,,,,,,13.00,,,,,,,,,,,,,2023-11-23 06:53,Robi Rahman,"""GCRN-M1, dropout""",,,,,,,,,,
GCNN-14,Language,,"Yann N. Dauphin, Angela Fan, Michael Auli, David Grangier",Highly cited,,,https://arxiv.org/abs/1612.08083,2176.00,Language Modeling with Gated Convolutional Networks,2016-12-23,Facebook AI Research,,,,,,WikiText-103,,,,35.00,,,,,,,,,,,,,2023-11-26 03:25,Robi Rahman,"GCNN-14,GCNN-14",,Multinational,Facebook AI Research,,,,GCNN-14,,,
YOLOv2,Vision,Object detection,"Joseph Redmon, Ali Farhadi",Highly cited,,,https://arxiv.org/abs/1612.08242,12167.00,"YOLO9000: Better, Faster, Stronger",2016-12-25,"University of Washington,Allen Institute for AI",Industry - Academia Collaboration,51000000.00,Source: https://resources.wolframcloud.com/NeuralNetRepository/resources/YOLO-V2-Trained-on-MS-COCO-Data_1,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,"United States of America,United States of America","University of Washington, Allen Institute for AI",,,,YOLOv2,,,
Libratus,Games,Poker,"N Brown, T Sandholm, S Machine",SOTA improvement,Claims to be first ML system to reach superhuman level at No Limit Poker Texas Hold Em,,https://www.cs.cmu.edu/~noamb/papers/17-IJCAI-Libratus.pdf,97.00,Libratus: The Superhuman AI for No-Limit Poker,2017-01-01,Carnegie Mellon University (CMU),Academia,,,551000000000000000000.00,"""In total, Libratus used about 25 million core hours. Of those, about 13 million core hours were used for exploratory experiments and evaluation. About 6 million core hours were spent on the initial abstraction and equilibrium finding component, another 3 million were used for nested subgame solving, and about 3 million were used on the self-improvement algorithm.""

""Like many data-centric supercomputers, Bridges offers a relatively a modest number of FLOPS, but lots of memory: 895 teraflops and 130 TB, respectively.""

I just used the first bullet point (as those are usually independent systems and you only benchmark one of them).
The first system has 752 nodes a 2CPUs a 14cores each.

source: https://www.top500.org/news/bridges-supercomputer-boots-up-at-pittsburgh/



1. 12M core hours for 196 cores
2. We have  895 TFLOPS for 752 nodes a 2 CPUs a 14 cores
2.1 That's 42.5 GFLOPS per core.
3. Running this for 12M h
3.1 12 * 10^6 * 60 * 60 * 42.5 * 10^9 FLOP/S = 1.823e21 FLOPs
4. Assuming 30% utilization
 1.823e21 * 0.3
→ 5.51e20 FLOPs",,,,,,,,,"In total, Libratus used about 25 million core hours. Of those,
about 13 million core hours were used for exploratory experiments and evaluation. About 6 million core hours were spent
on the initial abstraction and equilibrium finding component,
another 3 million were used for nested subgame solving, and
about 3 million were used on the self-improvement algorithm.",,,,$6253.49,,Academia,,"No-limit Texas Hold’em is the most popular variant of poker in the world. Heads-up no-limit Texas Hold’em is the main benchmark challenge for AI in imperfect-information games. We present Libratus, the first—and so far only—AI to defeat top human professionals in that game. Libratus’s architecture features three main modules, each of which has new algorithms: pre-computing a solution to an abstraction of the game which provides a high-level blueprint for the strategy of the AI, a new nested subgame-solving algorithm which repeatedly calculates a more detailed strategy as play progresses, and a self-improving module which augments the pre-computed blueprint over time.",2023-11-26 03:25,Robi Rahman,,,United States of America,Carnegie Mellon University (CMU),,,,Libratus,,,
AlphaGo Master,Games,Go,"D Silver, J Schrittwieser, K Simonyan, I Antonoglou",Highly cited,,,https://www.researchgate.net/publication/320473480_Mastering_the_game_of_Go_without_human_knowledge,7831.00,Mastering the game of Go without human knowledge,2017-01-01,DeepMind,Industry,,,1.5e+23,"This is a guess. There was no single journal publication that accompanied this model, that gave information about architecture/model training time etc. All I could find was that it has the same architecture as AlphaGo Zero, and that it had roughly the same power consumption as AGZ. See for instance: 
https://deepmind.com/blog/article/alphago-zero-starting-scratch

Since AGZ reaches the ELO of AlphaGo Master in about 20 days (half of the total training time), I estimate the compute to be around half that of AGZ. I round this down to 1.5e23, and I expect this to only be accurate within an OOM.",,,,,,,,,,Google TPU v1,Google TPU v1,,$852748.08,,Industry,,"A long-standing goal of artificial intelligence is an algorithm that learns, tabula rasa, superhuman proficiency in challenging domains. Recently, AlphaGo became the first program to defeat a world champion in the game of Go. The tree search in AlphaGo evaluated positions and selected moves using deep neural networks. These neural networks were trained by supervised learning from human expert moves, and by reinforcement learning from self-play. Here we introduce an algorithm based solely on reinforcement learning, without human data, guidance or domain knowledge beyond game rules. AlphaGo becomes its own teacher: a neural network is trained to predict AlphaGo's own move selections and also the winner of AlphaGo's games. This neural network improves the strength of the tree search, resulting in higher quality move selection and stronger self-play in the next iteration. Starting tabula rasa, our new program AlphaGo Zero achieved superhuman performance, winning 100-0 against the previously published, champion-defeating AlphaGo. © 2017 Macmillan Publishers Limited, part of Springer Nature. All rights reserved.",2023-12-05 04:33,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,DeepMind,,,,AlphaGo Master,,,AlphaGo Master
